filename,width,height,class,xmin,ymin,xmax,ymax
419.jpg,400,225,Apple,292,58,344,110
419.jpg,400,225,Apple,11,0,64,53
419.jpg,400,225,Apple,187,0,228,41
419.jpg,400,225,Apple,91,17,149,75
836.jpg,400,225,Apple,72,103,128,159
836.jpg,400,225,Apple,256,39,310,93
836.jpg,400,225,Apple,39,49,91,101
836.jpg,400,225,Apple,257,117,308,168
836.jpg,400,225,Apple,144,37,194,87
716.jpg,400,225,Apple,248,0,330,82
1823.jpg,400,225,Apple,41,48,88,95
1823.jpg,400,225,Apple,210,63,265,118
1823.jpg,400,225,Apple,101,10,185,94
1306.jpg,400,225,Apple,288,67,351,130
1306.jpg,400,225,Apple,184,44,248,108
1306.jpg,400,225,Apple,34,117,77,160
1306.jpg,400,225,Apple,3,1,63,61
1306.jpg,400,225,Apple,101,66,144,109
1306.jpg,400,225,Apple,119,116,169,166
1383.jpg,400,225,Apple,180,24,221,65
1383.jpg,400,225,Apple,102,23,155,76
1383.jpg,400,225,Apple,265,87,353,175
991.jpg,400,225,Apple,108,65,167,124
991.jpg,400,225,Apple,219,4,260,45
991.jpg,400,225,Apple,34,52,82,100
991.jpg,400,225,Apple,270,54,322,106
1969.jpg,400,225,Apple,171,89,216,134
1969.jpg,400,225,Apple,76,19,132,75
1969.jpg,400,225,Apple,264,116,323,175
1969.jpg,400,225,Apple,245,20,290,65
1969.jpg,400,225,Apple,7,119,58,170
1969.jpg,400,225,Apple,69,124,109,164
540.jpg,400,225,Apple,78,53,153,128
540.jpg,400,225,Apple,227,79,290,142
540.jpg,400,225,Apple,262,10,317,65
540.jpg,400,225,Apple,1,75,68,142
540.jpg,400,225,Apple,291,73,366,148
555.jpg,400,225,Apple,221,0,268,47
555.jpg,400,225,Apple,131,3,192,64
665.jpg,400,225,Apple,139,103,190,154
665.jpg,400,225,Apple,254,49,305,100
665.jpg,400,225,Apple,33,18,76,61
665.jpg,400,225,Apple,23,104,80,161
665.jpg,400,225,Apple,208,111,267,170
665.jpg,400,225,Apple,133,8,194,69
1442.jpg,400,225,Apple,64,109,126,171
1442.jpg,400,225,Apple,199,116,261,178
1442.jpg,400,225,Apple,177,25,241,89
1442.jpg,400,225,Apple,243,59,286,102
1442.jpg,400,225,Apple,36,30,110,104
556.jpg,400,225,Apple,39,23,154,138
1138.jpg,400,225,Apple,76,37,158,119
1138.jpg,400,225,Apple,296,50,380,134
882.jpg,400,225,Apple,243,99,315,171
882.jpg,400,225,Apple,55,79,155,179
902.jpg,400,225,Apple,153,7,204,58
902.jpg,400,225,Apple,279,15,333,69
902.jpg,400,225,Apple,35,35,86,86
902.jpg,400,225,Apple,31,114,97,180
1012.jpg,400,225,Apple,201,6,252,57
1012.jpg,400,225,Apple,43,16,91,64
1012.jpg,400,225,Apple,135,34,184,83
1012.jpg,400,225,Apple,88,118,130,160
1012.jpg,400,225,Apple,238,124,284,170
1012.jpg,400,225,Apple,248,62,288,102
1012.jpg,400,225,Apple,29,102,78,151
987.jpg,400,225,Apple,83,114,135,166
987.jpg,400,225,Apple,210,107,280,177
987.jpg,400,225,Apple,19,97,73,151
987.jpg,400,225,Apple,83,38,145,100
1122.jpg,400,225,Apple,127,12,167,52
1122.jpg,400,225,Apple,213,47,271,105
1122.jpg,400,225,Apple,162,95,212,145
1122.jpg,400,225,Apple,275,1,327,53
1122.jpg,400,225,Apple,13,3,56,46
1122.jpg,400,225,Apple,98,61,149,112
1743.jpg,400,225,Apple,220,9,281,70
1743.jpg,400,225,Apple,10,3,74,67
1743.jpg,400,225,Apple,232,88,296,152
1743.jpg,400,225,Apple,115,68,176,129
958.jpg,400,225,Apple,52,96,111,155
958.jpg,400,225,Apple,250,93,305,148
958.jpg,400,225,Apple,2,5,62,65
958.jpg,400,225,Apple,115,81,172,138
958.jpg,400,225,Apple,174,8,235,69
958.jpg,400,225,Apple,247,19,311,83
1675.jpg,400,225,Apple,241,32,292,83
1457.jpg,400,225,Apple,269,41,338,110
1457.jpg,400,225,Apple,145,35,231,121
814.jpg,400,225,Apple,113,107,205,199
814.jpg,400,225,Apple,13,124,70,181
814.jpg,400,225,Apple,286,95,378,187
1976.jpg,400,225,Apple,237,67,282,112
1976.jpg,400,225,Apple,150,108,206,164
1976.jpg,400,225,Apple,14,108,74,168
1976.jpg,400,225,Apple,2,30,54,82
1976.jpg,400,225,Apple,93,32,137,76
1976.jpg,400,225,Apple,288,63,338,113
1284.jpg,400,225,Apple,103,39,147,83
1284.jpg,400,225,Apple,257,4,301,48
1284.jpg,400,225,Apple,261,110,303,152
1284.jpg,400,225,Apple,159,4,224,69
1284.jpg,400,225,Apple,57,86,116,145
1284.jpg,400,225,Apple,21,10,73,62
892.jpg,400,225,Apple,274,44,347,117
892.jpg,400,225,Apple,111,6,193,88
28.jpg,400,225,Apple,192,80,233,121
28.jpg,400,225,Apple,84,120,134,170
28.jpg,400,225,Apple,295,46,347,98
28.jpg,400,225,Apple,34,100,77,143
28.jpg,400,225,Apple,128,15,178,65
1889.jpg,400,225,Apple,221,29,274,82
1889.jpg,400,225,Apple,36,47,91,102
1889.jpg,400,225,Apple,173,61,217,105
1889.jpg,400,225,Apple,208,107,262,161
1889.jpg,400,225,Apple,114,88,161,135
1889.jpg,400,225,Apple,113,35,161,83
1889.jpg,400,225,Apple,275,52,323,100
1422.jpg,400,225,Apple,90,10,187,107
1676.jpg,400,225,Apple,144,16,206,78
329.jpg,400,225,Apple,239,54,280,95
329.jpg,400,225,Apple,191,76,235,120
329.jpg,400,225,Apple,27,43,78,94
329.jpg,400,225,Apple,104,30,152,78
329.jpg,400,225,Apple,41,105,89,153
329.jpg,400,225,Apple,296,102,348,154
329.jpg,400,225,Apple,166,17,221,72
334.jpg,400,225,Apple,201,118,252,169
334.jpg,400,225,Apple,121,108,181,168
334.jpg,400,225,Apple,290,3,341,54
334.jpg,400,225,Apple,43,113,101,171
334.jpg,400,225,Apple,197,38,265,106
627.jpg,400,225,Apple,34,80,94,140
627.jpg,400,225,Apple,166,119,215,168
627.jpg,400,225,Apple,293,21,349,77
627.jpg,400,225,Apple,254,80,318,144
627.jpg,400,225,Apple,76,17,125,66
1595.jpg,400,225,Apple,68,26,114,72
1595.jpg,400,225,Apple,169,55,216,102
1595.jpg,400,225,Apple,207,110,249,152
1595.jpg,400,225,Apple,250,49,290,89
1595.jpg,400,225,Apple,116,27,160,71
1595.jpg,400,225,Apple,294,34,349,89
1595.jpg,400,225,Apple,68,87,114,133
1548.jpg,400,225,Apple,225,98,276,149
1548.jpg,400,225,Apple,103,31,155,83
1548.jpg,400,225,Apple,212,8,283,79
1548.jpg,400,225,Apple,289,44,347,102
1548.jpg,400,225,Apple,42,44,102,104
1565.jpg,400,225,Apple,109,76,154,121
1565.jpg,400,225,Apple,210,20,270,80
1565.jpg,400,225,Apple,51,122,110,181
1565.jpg,400,225,Apple,273,54,335,116
1565.jpg,400,225,Apple,156,82,200,126
1565.jpg,400,225,Apple,18,35,60,77
286.jpg,400,225,Apple,220,76,275,131
1757.jpg,400,225,Apple,269,72,351,154
1757.jpg,400,225,Apple,58,70,99,111
1316.jpg,400,225,Apple,53,71,138,156
1316.jpg,400,225,Apple,183,98,267,182
1316.jpg,400,225,Apple,297,64,351,118
1316.jpg,400,225,Apple,193,12,264,83
928.jpg,400,225,Apple,29,60,75,106
928.jpg,400,225,Apple,88,67,142,121
928.jpg,400,225,Apple,236,36,293,93
928.jpg,400,225,Apple,182,11,232,61
928.jpg,400,225,Apple,98,13,151,66
928.jpg,400,225,Apple,158,68,221,131
709.jpg,400,225,Apple,245,83,319,157
709.jpg,400,225,Apple,118,27,165,74
709.jpg,400,225,Apple,113,84,172,143
709.jpg,400,225,Apple,210,9,259,58
709.jpg,400,225,Apple,278,14,324,60
1243.jpg,400,225,Apple,259,109,353,203
1243.jpg,400,225,Apple,12,63,67,118
163.jpg,400,225,Apple,289,121,391,223
163.jpg,400,225,Apple,96,19,169,92
1124.jpg,400,225,Apple,142,71,188,117
1124.jpg,400,225,Apple,17,113,64,160
1124.jpg,400,225,Apple,239,42,282,85
1124.jpg,400,225,Apple,288,3,333,48
1124.jpg,400,225,Apple,237,97,292,152
1124.jpg,400,225,Apple,78,26,122,70
1124.jpg,400,225,Apple,127,21,175,69
1133.jpg,400,225,Apple,112,21,181,90
1465.jpg,400,225,Apple,137,57,196,116
933.jpg,400,225,Apple,171,29,215,73
933.jpg,400,225,Apple,279,50,327,98
933.jpg,400,225,Apple,157,102,209,154
933.jpg,400,225,Apple,52,103,102,153
933.jpg,400,225,Apple,216,6,269,59
933.jpg,400,225,Apple,16,7,59,50
933.jpg,400,225,Apple,0,53,50,103
406.jpg,400,225,Apple,130,38,198,106
406.jpg,400,225,Apple,49,37,108,96
61.jpg,400,225,Apple,25,5,117,97
1213.jpg,400,225,Apple,212,52,260,100
1213.jpg,400,225,Apple,22,123,69,170
1213.jpg,400,225,Apple,265,30,309,74
1213.jpg,400,225,Apple,142,87,188,133
1213.jpg,400,225,Apple,239,104,285,150
1213.jpg,400,225,Apple,103,1,146,44
1213.jpg,400,225,Apple,11,26,65,80
887.jpg,400,225,Apple,4,86,44,126
887.jpg,400,225,Apple,263,44,325,106
887.jpg,400,225,Apple,147,89,202,144
887.jpg,400,225,Apple,131,1,174,44
887.jpg,400,225,Apple,45,1,103,59
887.jpg,400,225,Apple,186,1,233,48
1459.jpg,400,225,Apple,242,106,303,167
1459.jpg,400,225,Apple,133,27,176,70
1459.jpg,400,225,Apple,59,33,100,74
1210.jpg,400,225,Apple,35,69,149,183
832.jpg,400,225,Apple,183,9,223,49
832.jpg,400,225,Apple,248,99,310,161
832.jpg,400,225,Apple,70,79,142,151
832.jpg,400,225,Apple,27,89,69,131
832.jpg,400,225,Apple,109,20,166,77
923.jpg,400,225,Apple,269,14,349,94
923.jpg,400,225,Apple,171,54,230,113
923.jpg,400,225,Apple,30,95,95,160
923.jpg,400,225,Apple,203,120,287,204
140.jpg,400,225,Apple,293,74,349,130
140.jpg,400,225,Apple,99,54,143,98
140.jpg,400,225,Apple,176,62,244,130
140.jpg,400,225,Apple,34,123,101,190
140.jpg,400,225,Apple,2,40,67,105
469.jpg,400,225,Apple,172,59,222,109
469.jpg,400,225,Apple,100,41,151,92
469.jpg,400,225,Apple,289,62,341,114
469.jpg,400,225,Apple,184,1,232,49
469.jpg,400,225,Apple,108,123,150,165
469.jpg,400,225,Apple,279,119,319,159
469.jpg,400,225,Apple,44,112,95,163
973.jpg,400,225,Apple,122,4,177,59
973.jpg,400,225,Apple,4,27,63,86
973.jpg,400,225,Apple,196,30,241,75
973.jpg,400,225,Apple,34,123,79,168
973.jpg,400,225,Apple,169,82,222,135
973.jpg,400,225,Apple,265,113,313,161
1082.jpg,400,225,Apple,179,28,240,89
1082.jpg,400,225,Apple,275,120,325,170
1082.jpg,400,225,Apple,137,94,179,136
1082.jpg,400,225,Apple,75,2,134,61
1082.jpg,400,225,Apple,20,77,69,126
1082.jpg,400,225,Apple,198,111,263,176
1560.jpg,400,225,Apple,181,107,251,177
1560.jpg,400,225,Apple,82,80,143,141
1560.jpg,400,225,Apple,106,21,156,71
1560.jpg,400,225,Apple,183,28,252,97
1560.jpg,400,225,Apple,259,35,313,89
1020.jpg,400,225,Apple,175,51,284,160
236.jpg,400,225,Apple,55,58,109,112
236.jpg,400,225,Apple,255,80,316,141
236.jpg,400,225,Apple,168,9,218,59
236.jpg,400,225,Apple,0,8,45,53
236.jpg,400,225,Apple,129,68,182,121
236.jpg,400,225,Apple,235,8,291,64
1083.jpg,400,225,Apple,179,57,267,145
1083.jpg,400,225,Apple,271,119,345,193
840.jpg,400,225,Apple,263,88,328,153
840.jpg,400,225,Apple,107,122,164,179
840.jpg,400,225,Apple,38,44,94,100
840.jpg,400,225,Apple,222,7,275,60
840.jpg,400,225,Apple,10,106,62,158
1832.jpg,400,225,Apple,88,68,135,115
1832.jpg,400,225,Apple,212,64,287,139
1832.jpg,400,225,Apple,19,10,60,51
1832.jpg,400,225,Apple,0,77,76,153
1764.jpg,400,225,Apple,166,28,232,94
1764.jpg,400,225,Apple,278,103,333,158
1764.jpg,400,225,Apple,22,81,104,163
1764.jpg,400,225,Apple,10,21,50,61
77.jpg,400,225,Apple,253,122,295,164
77.jpg,400,225,Apple,47,14,108,75
77.jpg,400,225,Apple,89,90,149,150
77.jpg,400,225,Apple,35,105,86,156
77.jpg,400,225,Apple,164,116,213,165
1501.jpg,400,225,Apple,63,15,115,67
1501.jpg,400,225,Apple,267,65,309,107
1501.jpg,400,225,Apple,106,106,159,159
1501.jpg,400,225,Apple,206,101,249,144
1501.jpg,400,225,Apple,155,8,197,50
1501.jpg,400,225,Apple,45,109,97,161
1501.jpg,400,225,Apple,245,2,297,54
1099.jpg,400,225,Apple,31,58,78,105
1099.jpg,400,225,Apple,212,93,272,153
1099.jpg,400,225,Apple,189,4,233,48
1099.jpg,400,225,Apple,95,47,142,94
1099.jpg,400,225,Apple,1,109,57,165
1099.jpg,400,225,Apple,297,2,355,60
1915.jpg,400,225,Apple,288,49,333,94
1915.jpg,400,225,Apple,225,76,278,129
1915.jpg,400,225,Apple,137,105,179,147
1915.jpg,400,225,Apple,139,14,190,65
1915.jpg,400,225,Apple,3,56,50,103
1915.jpg,400,225,Apple,71,73,129,131
473.jpg,400,225,Apple,210,80,294,164
473.jpg,400,225,Apple,32,70,116,154
1246.jpg,400,225,Apple,16,5,70,59
1246.jpg,400,225,Apple,91,24,135,68
1246.jpg,400,225,Apple,153,91,203,141
1246.jpg,400,225,Apple,91,95,146,150
1246.jpg,400,225,Apple,5,97,51,143
1246.jpg,400,225,Apple,201,9,244,52
1246.jpg,400,225,Apple,256,2,304,50
117.jpg,400,225,Apple,96,94,181,179
117.jpg,400,225,Apple,187,71,248,132
117.jpg,400,225,Apple,32,6,99,73
117.jpg,400,225,Apple,253,59,336,142
1413.jpg,400,225,Apple,1,69,48,116
1413.jpg,400,225,Apple,203,103,257,157
1413.jpg,400,225,Apple,262,30,338,106
1413.jpg,400,225,Apple,62,47,115,100
1864.jpg,400,225,Apple,111,105,166,160
1774.jpg,400,225,Apple,181,40,229,88
1774.jpg,400,225,Apple,269,0,310,41
1774.jpg,400,225,Apple,281,47,323,89
1774.jpg,400,225,Apple,148,113,202,167
1774.jpg,400,225,Apple,49,82,94,127
1774.jpg,400,225,Apple,290,103,331,144
1774.jpg,400,225,Apple,225,116,269,160
767.jpg,400,225,Apple,269,5,314,50
767.jpg,400,225,Apple,148,89,194,135
767.jpg,400,225,Apple,218,87,269,138
767.jpg,400,225,Apple,33,4,79,50
767.jpg,400,225,Apple,105,44,148,87
767.jpg,400,225,Apple,189,35,237,83
767.jpg,400,225,Apple,280,60,332,112
1155.jpg,400,225,Apple,125,64,166,105
1155.jpg,400,225,Apple,196,61,243,108
1155.jpg,400,225,Apple,184,120,237,173
1155.jpg,400,225,Apple,264,74,308,118
1155.jpg,400,225,Apple,23,54,76,107
1155.jpg,400,225,Apple,168,7,213,52
1155.jpg,400,225,Apple,10,117,51,158
319.jpg,400,225,Apple,35,119,119,203
319.jpg,400,225,Apple,163,40,210,87
319.jpg,400,225,Apple,255,47,326,118
319.jpg,400,225,Apple,47,22,109,84
1341.jpg,400,225,Apple,269,75,331,137
1341.jpg,400,225,Apple,183,67,253,137
692.jpg,400,225,Apple,247,35,293,81
692.jpg,400,225,Apple,194,6,246,58
692.jpg,400,225,Apple,4,24,56,76
692.jpg,400,225,Apple,127,97,176,146
692.jpg,400,225,Apple,47,79,100,132
692.jpg,400,225,Apple,200,82,242,124
692.jpg,400,225,Apple,269,116,314,161
19.jpg,400,225,Apple,272,56,313,97
19.jpg,400,225,Apple,95,65,169,139
19.jpg,400,225,Apple,246,121,321,196
19.jpg,400,225,Apple,11,29,51,69
630.jpg,400,225,Apple,206,23,253,70
630.jpg,400,225,Apple,264,60,306,102
630.jpg,400,225,Apple,82,48,145,111
630.jpg,400,225,Apple,290,103,339,152
630.jpg,400,225,Apple,0,42,64,106
630.jpg,400,225,Apple,156,121,204,169
1617.jpg,400,225,Apple,15,110,65,160
1617.jpg,400,225,Apple,119,61,170,112
1617.jpg,400,225,Apple,123,114,168,159
1617.jpg,400,225,Apple,187,0,241,54
1617.jpg,400,225,Apple,247,102,298,153
1617.jpg,400,225,Apple,247,48,300,101
1617.jpg,400,225,Apple,6,17,59,70
512.jpg,400,225,Apple,24,50,96,122
512.jpg,400,225,Apple,188,61,268,141
512.jpg,400,225,Apple,105,59,180,134
1882.jpg,400,225,Apple,173,78,238,143
1882.jpg,400,225,Apple,17,103,58,144
1882.jpg,400,225,Apple,93,102,135,144
1882.jpg,400,225,Apple,39,48,91,100
1882.jpg,400,225,Apple,251,12,308,69
1882.jpg,400,225,Apple,245,114,300,169
1182.jpg,400,225,Apple,287,18,336,67
1182.jpg,400,225,Apple,31,119,71,159
1182.jpg,400,225,Apple,129,23,181,75
1196.jpg,400,225,Apple,238,2,299,63
1196.jpg,400,225,Apple,20,46,65,91
1196.jpg,400,225,Apple,143,15,190,62
1196.jpg,400,225,Apple,194,114,243,163
1196.jpg,400,225,Apple,129,101,189,161
1196.jpg,400,225,Apple,61,92,108,139
1590.jpg,400,225,Apple,86,59,139,112
359.jpg,400,225,Apple,139,27,218,106
359.jpg,400,225,Apple,254,72,335,153
359.jpg,400,225,Apple,25,20,85,80
359.jpg,400,225,Apple,164,120,204,160
1220.jpg,400,225,Apple,150,98,247,195
1220.jpg,400,225,Apple,253,10,321,78
1126.jpg,400,225,Apple,99,23,174,98
1126.jpg,400,225,Apple,215,61,287,133
1126.jpg,400,225,Apple,13,10,91,88
144.jpg,400,225,Apple,17,35,75,93
144.jpg,400,225,Apple,184,90,234,140
144.jpg,400,225,Apple,266,29,310,73
144.jpg,400,225,Apple,271,109,312,150
144.jpg,400,225,Apple,81,40,122,81
646.jpg,400,225,Apple,53,84,107,138
646.jpg,400,225,Apple,209,27,249,67
646.jpg,400,225,Apple,286,73,341,128
646.jpg,400,225,Apple,171,73,215,117
646.jpg,400,225,Apple,281,11,324,54
646.jpg,400,225,Apple,19,28,66,75
646.jpg,400,225,Apple,3,81,52,130
66.jpg,400,225,Apple,211,101,265,155
66.jpg,400,225,Apple,136,10,189,63
66.jpg,400,225,Apple,21,30,73,82
66.jpg,400,225,Apple,299,8,366,75
66.jpg,400,225,Apple,79,98,143,162
1669.jpg,400,225,Apple,138,58,195,115
1669.jpg,400,225,Apple,224,95,271,142
1669.jpg,400,225,Apple,35,86,88,139
1669.jpg,400,225,Apple,293,116,340,163
1962.jpg,400,225,Apple,261,21,333,93
1962.jpg,400,225,Apple,66,61,159,154
1977.jpg,400,225,Apple,283,124,336,177
1977.jpg,400,225,Apple,93,103,179,189
1406.jpg,400,225,Apple,164,28,205,69
1406.jpg,400,225,Apple,272,31,327,86
1406.jpg,400,225,Apple,89,100,141,152
1406.jpg,400,225,Apple,67,36,113,82
1406.jpg,400,225,Apple,226,42,268,84
1406.jpg,400,225,Apple,264,106,319,161
1406.jpg,400,225,Apple,216,102,256,142
357.jpg,400,225,Apple,88,20,133,65
357.jpg,400,225,Apple,159,18,210,69
357.jpg,400,225,Apple,227,108,271,152
357.jpg,400,225,Apple,55,93,95,133
357.jpg,400,225,Apple,33,20,87,74
357.jpg,400,225,Apple,268,53,313,98
357.jpg,400,225,Apple,216,26,259,69
1650.jpg,400,225,Apple,276,28,327,79
1650.jpg,400,225,Apple,173,119,215,161
1650.jpg,400,225,Apple,218,16,265,63
1650.jpg,400,225,Apple,23,22,76,75
1650.jpg,400,225,Apple,246,112,299,165
1650.jpg,400,225,Apple,113,86,163,136
1650.jpg,400,225,Apple,102,23,157,78
775.jpg,400,225,Apple,130,27,223,120
775.jpg,400,225,Apple,235,97,312,174
1423.jpg,400,225,Apple,128,4,185,61
1423.jpg,400,225,Apple,62,57,105,100
1423.jpg,400,225,Apple,285,94,339,148
1423.jpg,400,225,Apple,86,118,136,168
1827.jpg,400,225,Apple,226,120,269,163
1827.jpg,400,225,Apple,99,104,156,161
1827.jpg,400,225,Apple,2,8,70,76
1827.jpg,400,225,Apple,206,33,285,112
670.jpg,400,225,Apple,119,31,210,122
828.jpg,400,225,Apple,20,52,72,104
828.jpg,400,225,Apple,86,88,147,149
828.jpg,400,225,Apple,253,31,318,96
1143.jpg,400,225,Apple,230,89,282,141
1143.jpg,400,225,Apple,60,114,105,159
1143.jpg,400,225,Apple,181,36,227,82
1143.jpg,400,225,Apple,104,9,159,64
1143.jpg,400,225,Apple,298,81,346,129
1143.jpg,400,225,Apple,54,50,101,97
1143.jpg,400,225,Apple,246,4,290,48
1040.jpg,400,225,Apple,180,3,242,65
1040.jpg,400,225,Apple,101,101,149,149
1040.jpg,400,225,Apple,123,43,166,86
1040.jpg,400,225,Apple,176,66,224,114
1040.jpg,400,225,Apple,270,94,331,155
1740.jpg,400,225,Apple,64,14,114,64
1740.jpg,400,225,Apple,121,99,172,150
1740.jpg,400,225,Apple,129,36,169,76
1939.jpg,400,225,Apple,184,31,240,87
1939.jpg,400,225,Apple,17,16,106,105
1939.jpg,400,225,Apple,114,123,208,217
350.jpg,400,225,Apple,131,92,206,167
350.jpg,400,225,Apple,268,87,345,164
350.jpg,400,225,Apple,39,121,119,201
350.jpg,400,225,Apple,51,50,91,90
801.jpg,400,225,Apple,156,77,204,125
801.jpg,400,225,Apple,219,34,263,78
801.jpg,400,225,Apple,283,44,348,109
801.jpg,400,225,Apple,57,6,111,60
1671.jpg,400,225,Apple,269,48,345,124
1671.jpg,400,225,Apple,144,13,210,79
1671.jpg,400,225,Apple,158,91,240,173
1671.jpg,400,225,Apple,65,22,135,92
1744.jpg,400,225,Apple,194,51,245,102
813.jpg,400,225,Apple,119,48,175,104
813.jpg,400,225,Apple,203,89,246,132
813.jpg,400,225,Apple,40,91,98,149
813.jpg,400,225,Apple,249,25,300,76
813.jpg,400,225,Apple,276,114,318,156
813.jpg,400,225,Apple,5,26,47,68
1892.jpg,400,225,Apple,128,30,219,121
1001.jpg,400,225,Apple,217,69,303,155
1001.jpg,400,225,Apple,74,7,130,63
1094.jpg,400,225,Apple,274,124,329,179
1094.jpg,400,225,Apple,187,86,252,151
1094.jpg,400,225,Apple,108,16,183,91
1094.jpg,400,225,Apple,15,86,89,160
1094.jpg,400,225,Apple,54,17,95,58
1604.jpg,400,225,Apple,254,33,327,106
1604.jpg,400,225,Apple,11,29,85,103
1604.jpg,400,225,Apple,141,28,203,90
1604.jpg,400,225,Apple,195,115,248,168
1604.jpg,400,225,Apple,14,114,67,167
1077.jpg,400,225,Apple,8,116,60,168
534.jpg,400,225,Apple,127,29,173,75
534.jpg,400,225,Apple,209,30,290,111
534.jpg,400,225,Apple,42,112,92,162
534.jpg,400,225,Apple,67,49,122,104
1156.jpg,400,225,Apple,283,54,329,100
1156.jpg,400,225,Apple,178,55,230,107
1156.jpg,400,225,Apple,90,86,156,152
1156.jpg,400,225,Apple,176,111,247,182
690.jpg,400,225,Apple,268,2,331,65
690.jpg,400,225,Apple,17,71,73,127
690.jpg,400,225,Apple,134,47,191,104
690.jpg,400,225,Apple,210,84,261,135
690.jpg,400,225,Apple,100,112,162,174
690.jpg,400,225,Apple,194,31,241,78
1271.jpg,400,225,Apple,1,6,49,54
1271.jpg,400,225,Apple,243,8,292,57
1271.jpg,400,225,Apple,66,43,106,83
1271.jpg,400,225,Apple,174,98,221,145
1271.jpg,400,225,Apple,252,61,305,114
1271.jpg,400,225,Apple,144,33,199,88
1271.jpg,400,225,Apple,3,101,46,144
341.jpg,400,225,Apple,290,45,351,106
1842.jpg,400,225,Apple,96,77,140,121
1842.jpg,400,225,Apple,237,63,288,114
1842.jpg,400,225,Apple,73,21,122,70
1842.jpg,400,225,Apple,294,50,335,91
1842.jpg,400,225,Apple,193,96,235,138
1842.jpg,400,225,Apple,211,8,251,48
1842.jpg,400,225,Apple,5,34,60,89
1603.jpg,400,225,Apple,47,62,95,110
1603.jpg,400,225,Apple,282,64,344,126
1603.jpg,400,225,Apple,131,68,173,110
258.jpg,400,225,Apple,162,7,207,52
258.jpg,400,225,Apple,241,1,292,52
258.jpg,400,225,Apple,87,48,128,89
258.jpg,400,225,Apple,173,99,216,142
258.jpg,400,225,Apple,286,63,334,111
258.jpg,400,225,Apple,20,77,68,125
258.jpg,400,225,Apple,12,3,67,58
1492.jpg,400,225,Apple,161,22,202,63
1492.jpg,400,225,Apple,216,120,281,185
1492.jpg,400,225,Apple,137,83,192,138
1492.jpg,400,225,Apple,218,61,264,107
1492.jpg,400,225,Apple,25,58,85,118
169.jpg,400,225,Apple,58,62,172,176
1645.jpg,400,225,Apple,169,68,245,144
1814.jpg,400,225,Apple,205,37,294,126
344.jpg,400,225,Apple,2,0,59,57
344.jpg,400,225,Apple,202,106,257,161
344.jpg,400,225,Apple,95,6,162,73
344.jpg,400,225,Apple,242,6,306,70
344.jpg,400,225,Apple,94,94,152,152
1847.jpg,400,225,Apple,93,114,139,160
1847.jpg,400,225,Apple,237,35,278,76
1847.jpg,400,225,Apple,151,99,201,149
1847.jpg,400,225,Apple,265,79,311,125
1847.jpg,400,225,Apple,37,88,83,134
1847.jpg,400,225,Apple,23,33,74,84
1847.jpg,400,225,Apple,147,42,200,95
488.jpg,400,225,Apple,281,95,324,138
488.jpg,400,225,Apple,39,52,82,95
488.jpg,400,225,Apple,205,11,254,60
488.jpg,400,225,Apple,122,98,176,152
488.jpg,400,225,Apple,33,6,76,49
488.jpg,400,225,Apple,90,42,135,87
488.jpg,400,225,Apple,20,109,71,160
